antecedent,consequent,support,confidence,lift,leverage,conviction,zhangs_metric,rule_rank,lift_tier
HERB MARKER THYME,HERB MARKER ROSEMARY,0.01015258921062117,0.9441340782122903,86.82903793326953,0.010035663013437876,17.705364652168637,0.9992281496829053,1,Muy Alto (>5)
HERB MARKER ROSEMARY,HERB MARKER THYME,0.01015258921062117,0.9337016574585634,86.82903793326953,0.010035663013437876,14.921137210140538,0.9993495257108048,2,Muy Alto (>5)
REGENCY TEA PLATE ROSES,REGENCY TEA PLATE GREEN,0.011534302535143579,0.7218045112781956,52.93021099003015,0.011316387240278872,3.545575432455164,0.997039707977208,3,Muy Alto (>5)
REGENCY TEA PLATE GREEN,REGENCY TEA PLATE ROSES,0.011534302535143579,0.8458149779735683,52.93021099003014,0.011316387240278872,6.382073771476632,0.9946714426375948,4,Muy Alto (>5)
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE BEDROOM,0.01015258921062117,0.8086124401913876,51.76985645933014,0.009956479159232541,5.143388802114623,0.9931533454074064,5,Muy Alto (>5)
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE LIVINGROOM,0.01015258921062117,0.6499999999999999,51.76985645933014,0.009956479159232541,2.8212698031273056,0.9962444488259207,6,Muy Alto (>5)
SET OF 3 WOODEN STOCKING DECORATION,SET OF 3 WOODEN TREE DECORATIONS,0.01033281268773279,0.6907630522088353,50.21153610073481,0.010127027055781538,3.1892791216953174,0.9949675280929156,7,Muy Alto (>5)
SET OF 3 WOODEN TREE DECORATIONS,SET OF 3 WOODEN STOCKING DECORATION,0.01033281268773279,0.7510917030567685,50.21153610073481,0.010127027055781538,3.9574472345708673,0.993755409523027,8,Muy Alto (>5)
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE KITCHEN,0.010693259641956025,0.8516746411483254,49.22561137692716,0.010476030046571697,6.625290198555887,0.9921422824499126,9,Muy Alto (>5)
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM,0.010693259641956025,0.6180555555555555,49.22561137692716,0.010476030046571697,2.5853090559566585,0.9969337753166164,10,Muy Alto (>5)
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.012555568905442748,0.7256944444444444,46.461191239316236,0.012285331131280428,3.5886281267252405,0.9957037833499376,11,Muy Alto (>5)
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.012555568905442748,0.8038461538461538,46.461191239316236,0.012285331131280428,5.009835725711645,0.9940023488367068,12,Muy Alto (>5)
PINK VINTAGE PAISLEY PICNIC BAG,SCANDINAVIAN PAISLEY PICNIC BAG,0.010933557611438183,0.7137254901960783,40.827060171147494,0.010665755874903527,3.4320845519677268,0.9906827051296576,13,Muy Alto (>5)
SCANDINAVIAN PAISLEY PICNIC BAG,PINK VINTAGE PAISLEY PICNIC BAG,0.010933557611438183,0.6254295532646047,40.82706017114749,0.010665755874903527,2.6288272687490277,0.9928633579810588,14,Muy Alto (>5)
WOODEN STAR CHRISTMAS SCANDINAVIAN,"WOODEN TREE CHRISTMAS SCANDINAVIAN, WOODEN HEART CHRISTMAS SCANDINAVIAN",0.01021266370299171,0.4239401496259352,38.5623373260837,0.009947828518945856,1.7168465520622194,0.998112360364275,15,Muy Alto (>5)
"WOODEN TREE CHRISTMAS SCANDINAVIAN, WOODEN HEART CHRISTMAS SCANDINAVIAN",WOODEN STAR CHRISTMAS SCANDINAVIAN,0.01021266370299171,0.9289617486338797,38.56233732608369,0.009947828518945856,13.737811809720963,0.9848955411600345,16,Muy Alto (>5)
PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING,0.013036164844407064,0.6932907348242812,38.08751673889434,0.01269389614430316,3.2010687001882334,0.9924051868640599,17,Muy Alto (>5)
BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,0.013036164844407064,0.7161716171617161,38.08751673889433,0.01269389614430316,3.4570069211403522,0.9917979512360455,18,Muy Alto (>5)
"WOODEN STAR CHRISTMAS SCANDINAVIAN, WOODEN HEART CHRISTMAS SCANDINAVIAN",WOODEN TREE CHRISTMAS SCANDINAVIAN,0.01021266370299171,0.5666666666666667,38.035215053763444,0.009944158222253507,2.273311213597168,0.9915791594993559,19,Muy Alto (>5)
WOODEN TREE CHRISTMAS SCANDINAVIAN,"WOODEN STAR CHRISTMAS SCANDINAVIAN, WOODEN HEART CHRISTMAS SCANDINAVIAN",0.01021266370299171,0.685483870967742,38.03521505376344,0.009944158222253507,3.122185355995281,0.9884347445527791,20,Muy Alto (>5)
SMALL DOLLY MIX DESIGN ORANGE BOWL,SMALL MARSHMALLOWS PINK BOWL,0.012675717890183827,0.6133720930232558,37.675984724963534,0.012339277635663152,2.5443580114529984,0.9939995150770905,21,Muy Alto (>5)
