support,itemsets,itemset_size
0.11318034362609636,WHITE HANGING HEART T-LIGHT HOLDER,1
0.018502943650126155,KNITTED UNION FLAG HOT WATER BOTTLE,1
0.01820257118827346,RED WOOLLY HOTTIE WHITE HEART.,1
0.015499219031599183,SET 7 BABUSHKA NESTING BOXES,1
0.013757058752853539,WHITE METAL LANTERN,1
0.01351676078337138,CREAM CUPID HEARTS COAT HANGER,1
0.026312627658296287,HAND WARMER UNION JACK,1
0.07809684008170131,ASSORTED COLOUR BIRD ORNAMENT,1
0.03982938844166767,HOME BUILDING BLOCK WORD,1
0.03207977892586807,LOVE BUILDING BLOCK WORD,1
0.029917097200528656,DOORMAT NEW ENGLAND,1
0.021987264207617447,FELTCRAFT PRINCESS CHARLOTTE DOLL,1
0.017301453802715368,POPPY'S PLAYHOUSE KITCHEN,1
0.015619368016340262,POPPY'S PLAYHOUSE BEDROOM,1
0.012195121951219513,BOX OF VINTAGE ALPHABET BLOCKS,1
0.01129400456566142,BOX OF VINTAGE JIGSAW BLOCKS,1
0.04511594377027514,JAM MAKING SET WITH JARS,1
0.01345668629100084,BATH BUILDING BLOCK WORD,1
0.0567703952901598,PAPER CHAIN KIT 50'S CHRISTMAS,1
0.051303616484440706,WOODEN PICTURE FRAME WHITE FINISH,1
0.04709840201850295,WOODEN FRAME ANTIQUE WHITE,1
0.030097320677640274,WOOD 2 DRAWER CABINET WHITE FINISH,1
0.021867115222876366,WOOD S/3 CABINET ANT WHITE FINISH,1
0.014838399615523249,SAVE THE PLANET MUG,1
0.013036164844407064,EDWARDIAN PARASOL RED,1
0.03856782410188634,RED HANGING HEART T-LIGHT HOLDER,1
0.0293764267691938,HOT WATER BOTTLE TEA AND SYMPATHY,1
0.0672834314550042,LUNCH BAG RED RETROSPOT,1
0.05070287156073531,PACK OF 72 RETROSPOT CAKE CASES,1
0.04878048780487805,JUMBO BAG PINK POLKADOT,1
0.043253634506788416,JUMBO STORAGE BAG SUKI,1
0.03760663222395771,JUMBO  BAG BAROQUE BLACK WHITE,1
0.03544395049861829,PACK OF 60 PINK PAISLEY CAKE CASES,1
0.035263727021506666,60 TEATIME FAIRY CAKE CASES,1
0.03322119428090833,JUMBO BAG PINK VINTAGE PAISLEY,1
0.028535383876006248,PACK OF 60 DINOSAUR CAKE CASES,1
0.026613000120148986,STRAWBERRY CHARLOTTE BAG,1
0.01820257118827346,STRAWBERRY LUNCH BOX WITH CUTLERY,1
0.013036164844407064,SET/6 RED SPOTTY PAPER PLATES,1
0.012555568905442748,LUNCH BOX WITH CUTLERY RETROSPOT,1
