antecedent,consequent,support,confidence,lift,rank
HERB MARKER THYME,HERB MARKER ROSEMARY,0.01015258921062117,0.9441340782122903,86.82903793326953,1
HERB MARKER ROSEMARY,HERB MARKER THYME,0.01015258921062117,0.9337016574585634,86.82903793326953,2
REGENCY TEA PLATE ROSES,REGENCY TEA PLATE GREEN,0.011534302535143579,0.7218045112781956,52.93021099003015,3
REGENCY TEA PLATE GREEN,REGENCY TEA PLATE ROSES,0.011534302535143579,0.8458149779735683,52.93021099003014,4
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE BEDROOM,0.01015258921062117,0.8086124401913876,51.76985645933014,5
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE LIVINGROOM,0.01015258921062117,0.6499999999999999,51.76985645933014,6
SET OF 3 WOODEN STOCKING DECORATION,SET OF 3 WOODEN TREE DECORATIONS,0.01033281268773279,0.6907630522088353,50.21153610073481,7
SET OF 3 WOODEN TREE DECORATIONS,SET OF 3 WOODEN STOCKING DECORATION,0.01033281268773279,0.7510917030567685,50.21153610073481,8
POPPY'S PLAYHOUSE LIVINGROOM,POPPY'S PLAYHOUSE KITCHEN,0.010693259641956025,0.8516746411483254,49.22561137692716,9
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE LIVINGROOM,0.010693259641956025,0.6180555555555555,49.22561137692716,10
POPPY'S PLAYHOUSE KITCHEN,POPPY'S PLAYHOUSE BEDROOM,0.012555568905442748,0.7256944444444444,46.461191239316236,11
POPPY'S PLAYHOUSE BEDROOM,POPPY'S PLAYHOUSE KITCHEN,0.012555568905442748,0.8038461538461538,46.461191239316236,12
PINK VINTAGE PAISLEY PICNIC BAG,SCANDINAVIAN PAISLEY PICNIC BAG,0.010933557611438183,0.7137254901960783,40.827060171147494,13
SCANDINAVIAN PAISLEY PICNIC BAG,PINK VINTAGE PAISLEY PICNIC BAG,0.010933557611438183,0.6254295532646047,40.82706017114749,14
WOODEN STAR CHRISTMAS SCANDINAVIAN,"WOODEN TREE CHRISTMAS SCANDINAVIAN, WOODEN HEART CHRISTMAS SCANDINAVIAN",0.01021266370299171,0.4239401496259352,38.5623373260837,15
"WOODEN TREE CHRISTMAS SCANDINAVIAN, WOODEN HEART CHRISTMAS SCANDINAVIAN",WOODEN STAR CHRISTMAS SCANDINAVIAN,0.01021266370299171,0.9289617486338797,38.56233732608369,16
PINK HAPPY BIRTHDAY BUNTING,BLUE HAPPY BIRTHDAY BUNTING,0.013036164844407064,0.6932907348242812,38.08751673889434,17
BLUE HAPPY BIRTHDAY BUNTING,PINK HAPPY BIRTHDAY BUNTING,0.013036164844407064,0.7161716171617161,38.08751673889433,18
"WOODEN STAR CHRISTMAS SCANDINAVIAN, WOODEN HEART CHRISTMAS SCANDINAVIAN",WOODEN TREE CHRISTMAS SCANDINAVIAN,0.01021266370299171,0.5666666666666667,38.035215053763444,19
WOODEN TREE CHRISTMAS SCANDINAVIAN,"WOODEN STAR CHRISTMAS SCANDINAVIAN, WOODEN HEART CHRISTMAS SCANDINAVIAN",0.01021266370299171,0.685483870967742,38.03521505376344,20
